,City,Cloudiness,Date,Humidity,Lat,Lng,Wind Speed
0,Celestun,83,1559731350,83,20.87,-90.4,18.57
1,Lashio,97,1559731351,60,22.93,97.75,2.06
2,Saint George,40,1559731352,47,39.45,22.34,4.7
3,Puri,20,1559731353,66,-7.54,112.45,10.29
4,Baruun-Urt,94,1559731354,48,46.68,113.28,8.08
5,Yellowknife,40,1559731356,86,62.45,-114.38,9.17
6,Coihaique,90,1559731357,81,-45.58,-72.07,6.93
7,Cascais,20,1559731358,59,38.7,-9.42,13.87
8,Sao Joao da Barra,40,1559731359,82,-21.64,-41.05,6.93
9,Mataura,96,1559731361,83,-46.19,168.86,8.55
10,Trairi,43,1559731362,76,-3.28,-39.27,8.59
11,Dunedin,1,1559731297,61,-45.87,170.5,1.99
12,Jacareacanga,60,1559731364,70,-6.22,-57.76,2.8
13,Avarua,51,1559731365,83,-21.21,-159.78,5.82
14,Atuona,35,1559731366,75,-9.8,-139.03,18.75
15,Ushuaia,75,1559731362,86,-54.81,-68.31,4.7
16,Qaanaaq,98,1559731368,86,77.48,-69.36,5.35
17,Saint-Philippe,75,1559731370,87,45.36,-73.48,4.7
18,Khatanga,36,1559731371,51,71.98,102.47,10.56
19,Hilo,90,1559731372,88,19.71,-155.08,5.82
20,Codrington,75,1559731373,87,-28.95,153.24,4.25
21,Orsta,75,1559731374,82,62.2,6.13,2.71
22,Bluff,99,1559731376,43,-23.58,149.07,12.21
23,Kruisfontein,3,1559731377,56,-34.0,24.73,25.64
24,Port Elizabeth,1,1559731378,88,39.31,-74.98,11.77
25,Igbon,93,1559731379,49,7.88,4.35,8.37
26,Kapit,87,1559731380,85,2.02,112.94,2.95
27,Namibe,0,1559731381,65,-15.19,12.15,8.63
28,Rikitea,26,1559731383,80,-23.12,-134.97,3.91
29,San Patricio,0,1559731384,82,-26.98,-56.83,8.66
30,Kodiak,1,1559731386,100,39.95,-94.76,5.82
31,Komsomolskiy,94,1559731387,100,67.55,63.78,3.87
32,Praia da Vitoria,40,1559731386,63,38.73,-27.07,12.93
33,East London,0,1559731389,68,-33.02,27.91,17.22
34,Kuytun,100,1559731390,51,54.34,101.51,1.5
35,Suntar,63,1559731392,48,62.16,117.65,4.25
36,Port-Cartier,75,1559731393,93,50.03,-66.88,2.24
37,Cherskiy,0,1559731394,53,68.75,161.3,7.94
38,Krasnyy Yar,0,1559731395,46,50.7,44.73,8.72
39,Kaitangata,55,1559731396,80,-46.28,169.85,4.0
40,Glendora,90,1559731184,100,34.14,-117.87,3.36
41,Souillac,100,1559731398,93,45.6,-0.6,4.7
42,Srednekolymsk,74,1559731400,32,67.46,153.71,12.19
43,Bethel,1,1559731401,76,60.79,-161.76,12.75
44,Dikson,95,1559731402,89,73.51,80.55,3.98
45,Kavieng,100,1559731403,76,-2.57,150.8,5.08
46,Gornopravdinsk,87,1559731405,43,60.06,69.92,4.99
